Adalberteris,10.0.1.66
Alexander,10.0.1.178
Anacletus,10.0.1.243
Anastasius,10.0.1.50
Benedict,10.0.1.252
Boniface,10.0.1.251
Callixtus,10.0.1.167
Celestine,10.0.1.206
Christopher,10.0.1.89
Clement,10.0.1.77
Constantine,10.0.1.114
Dioscorus,10.0.1.92
Eulalius,10.0.1.122
Felix,10.0.1.45
Gregory,10.0.1.97
Hippolytus,10.0.1.44
Honorius,10.0.1.80
Innocent,10.0.1.81
John,10.0.1.45
Laurentius,10.0.1.56
Nicholas,10.0.1.240
Novatian,10.0.1.215
Paschal,10.0.1.63
Philip,10.0.1.217
Sylvester,10.0.1.236
Theodore,10.0.1.252
Theodoric,10.0.1.195
Theofylact,10.0.1.224
Ursicinus,10.0.1.63
Victor,10.0.1.129
